"UserID","CountryID","LanguageID","Gender","Age","Dep1Date","ReasonCA","Group","Split"
1358007,276,2,1,19,2005-02-19,1,"B","B1"
1358043,208,11,1,31,2005-02-14,2,"B","B3"
1358119,276,2,1,23,2005-02-18,1,"A","A3"
1358127,300,8,1,29,2005-02-25,3,"B","B4"
1358234,208,11,1,22,2005-03-01,3,"B","B2"
1358514,276,2,1,22,2005-08-17,3,"B","B4"
1358598,276,2,1,25,2005-02-19,2,"A","A4"
1358623,616,9,1,24,2005-02-14,2,"B","B4"
1358731,616,9,1,20,2005-10-19,3,"A","A4"
1358818,276,2,1,47,2005-05-19,3,"B","B4"
1358927,578,10,1,38,2005-02-14,3,"B","B3"
1358966,616,9,0,18,2005-03-15,2,"A","A4"
1359135,276,2,1,23,2005-03-31,2,"B","B4"
1359146,276,2,1,27,2005-02-19,2,"B","B2"
1359206,208,11,1,31,2005-02-14,1,"B","B4"
1359667,276,2,1,19,2005-02-15,1,"A","A3"
1359969,300,8,1,32,2005-02-15,2,"B","B2"
1360163,792,7,1,24,2006-05-28,3,"B","B3"
1360323,276,2,1,32,2005-02-15,1,"A","A4"
1360377,792,7,1,18,2005-02-20,2,"A","A4"
1360387,276,2,1,22,2005-02-16,2,"A","A4"
1360716,470,1,1,23,2005-02-19,1,"B","B4"
1360874,792,7,1,29,2005-11-22,3,"A","A2"
1360944,724,4,1,27,2005-02-15,3,"A","A4"
1361119,40,2,1,42,2005-02-16,2,"A","A4"
1361810,276,2,1,31,2005-02-19,2,"B","B3"
1361873,196,8,1,22,2005-02-16,3,"A","A3"
1362118,276,2,1,27,2005-02-16,3,"A","A4"
1362179,792,7,1,26,2005-02-16,3,"A","A4"
1362399,276,2,1,31,2005-02-16,3,"A","A2"
1363150,191,19,1,40,2005-02-16,1,"A","A1"
1363165,276,2,1,19,2005-02-22,2,"B","B2"
1363380,276,2,1,42,2005-02-16,2,"A","A4"
1363392,276,2,1,21,2005-02-18,3,"A","A3"
1363486,616,9,1,18,2006-02-11,3,"B","B4"
1363496,300,8,1,29,2005-02-16,3,"A","A4"
1363646,380,8,1,22,2005-02-16,2,"A","A4"
1363675,616,9,1,22,2005-03-01,3,"A","A4"
1363893,380,3,1,46,2005-03-06,2,"A","A4"
1363919,276,2,1,54,2005-02-23,2,"B","B4"
1363971,276,2,1,32,2005-03-02,3,"A","A3"
1364076,276,2,1,26,2005-02-22,2,"B","B4"
1364161,276,2,1,50,2005-02-18,2,"A","A3"
1364531,616,9,1,23,2005-02-18,2,"B","B4"
1364535,705,1,1,32,2005-02-17,3,"A","A4"
1364794,250,6,1,31,2005-02-17,1,"A","A4"
1365104,276,2,1,27,2005-02-17,3,"B","B4"
1365247,276,2,1,30,2005-02-17,1,"B","B3"
1365448,276,2,1,21,2005-02-22,2,"A","A4"
1365495,276,2,1,20,2005-02-24,2,"B","B4"
1365530,276,2,1,40,2005-02-17,2,"B","B4"
1365585,276,2,1,21,2005-09-08,2,"A","A4"
1365600,276,2,1,28,2005-02-21,2,"A","A4"
1365668,792,7,1,20,2005-04-21,1,"B","B4"
1365726,276,2,1,19,2005-07-06,3,"B","B4"
1366102,752,5,1,30,2005-03-26,2,"B","B2"
1366116,792,7,1,26,2006-11-14,1,"A","A4"
1366136,792,7,1,18,2006-01-05,1,"B","B4"
1366245,250,6,1,28,2005-04-01,2,"A","A4"
1366287,276,2,1,37,2005-02-17,3,"B","B3"
1366568,250,6,1,21,2005-02-17,2,"B","B4"
1366624,276,2,1,20,2005-10-27,3,"B","B4"
1366714,276,2,1,26,2005-02-17,2,"A","A4"
1366753,276,2,1,37,2005-03-03,1,"B","B4"
1366789,616,9,1,29,2005-03-17,2,"A","A3"
1366865,792,7,1,24,2006-03-17,3,"B","B2"
1367089,376,1,1,26,2005-03-20,2,"B","B3"
1367220,276,2,1,22,2005-03-01,3,"B","B3"
1367261,276,2,0,37,2005-02-28,2,"B","B2"
1367432,276,2,1,29,2005-06-22,3,"B","B4"
1367505,250,6,1,20,2005-02-18,1,"A","A4"
1367596,276,2,1,43,2005-02-18,2,"A","A4"
1367668,724,4,1,26,2005-02-18,1,"A","A4"
1367747,276,2,1,22,2005-02-18,2,"A","A3"
1367974,276,2,1,22,2005-02-22,1,"B","B4"
